ticker,sector,event_date,horizon,event_type,critic_invoked,pred_ticker,pred_sector,pred_implied,conf_ticker,conf_sector,actual_ticker_ret,actual_sector_ret,actual_abnormal_ret,status,obs_ticker,obs_sector,obs_implied,hit_ticker,hit_sector,hit_implied,bl_always_up_ticker,bl_always_up_sector,bl_market_ticker,bl_market_sector,bl_sentiment_ticker,bl_sentiment_sector,file
ABUK,Petroleum & Petrochemicals,2025-06-29,short,earnings,True,neutral,neutral,neutral,0.6,0.52,3.068,1.058,,scored,up,up,,False,False,,True,True,True,True,False,False,ABUK_20250629_4464697.json
ABUK,Petroleum & Petrochemicals,2025-06-29,medium,earnings,True,down,neutral,down,0.65,0.52,2.27,0.721,,scored,up,neutral,,False,True,,True,False,False,True,False,True,ABUK_20250629_4464697.json
ABUK,Petroleum & Petrochemicals,2025-06-29,large,earnings,True,down,neutral,down,0.7,0.52,2.679,-7.063,,scored,neutral,down,,False,False,,False,False,False,True,True,False,ABUK_20250629_4464697.json
ABUK,Petroleum & Petrochemicals,2025-06-29,short,m_and_a,False,neutral,neutral,neutral,0.68,0.62,3.068,1.058,,scored,up,up,,False,False,,True,True,True,True,False,False,ABUK_20250629_4464705.json
ABUK,Petroleum & Petrochemicals,2025-06-29,medium,m_and_a,False,neutral,neutral,neutral,0.7,0.65,2.27,0.721,,scored,up,neutral,,False,True,,True,False,False,True,False,True,ABUK_20250629_4464705.json
ABUK,Petroleum & Petrochemicals,2025-06-29,large,m_and_a,False,neutral,neutral,neutral,0.72,0.68,2.679,-7.063,,scored,neutral,down,,True,False,,False,False,False,True,True,False,ABUK_20250629_4464705.json
ABUK,Petroleum & Petrochemicals,2025-06-29,short,operational,True,up,neutral,up,0.72,0.6,3.068,1.058,,scored,up,up,,True,False,,True,True,True,True,True,True,ABUK_20250629_4464717.json
ABUK,Petroleum & Petrochemicals,2025-06-29,medium,operational,True,up,neutral,up,0.7,0.58,2.27,0.721,,scored,up,neutral,,True,True,,True,False,False,True,True,False,ABUK_20250629_4464717.json
ABUK,Petroleum & Petrochemicals,2025-06-29,large,operational,True,up,neutral,up,0.65,0.55,2.679,-7.063,,scored,neutral,down,,False,False,,False,False,False,True,False,False,ABUK_20250629_4464717.json
AMOC,Petroleum & Petrochemicals,2025-06-29,short,earnings,True,up,neutral,up,0.75,0.6,1.459,1.058,,scored,up,up,,True,False,,True,True,True,True,True,True,AMOC_20250629_4464778.json
AMOC,Petroleum & Petrochemicals,2025-06-29,medium,earnings,True,up,neutral,up,0.72,0.58,-1.459,0.721,,scored,down,neutral,,False,True,,False,False,False,True,False,False,AMOC_20250629_4464778.json
AMOC,Petroleum & Petrochemicals,2025-06-29,large,earnings,True,up,neutral,up,0.7,0.55,-0.928,-7.063,,scored,neutral,down,,False,False,,False,False,False,True,False,False,AMOC_20250629_4464778.json
