ticker,event_date,horizon,news_type,in_trading_hours,already_priced_in,ta_signals_cited,predicted_direction,predicted_magnitude,confidence,actual_ar_pct,dividend_adj_pct,actual_ar_adj_pct,observed_direction,observed_magnitude,directional_hit,magnitude_hit,status,file
ABUK,2025-01-16,short,operational,True,False,near_20d_high|macd_bullish|bollinger_above_upper|up_streak_3plus,neutral,small,0.6,1.881,0.0,1.881,up,medium,False,False,scored,ABUK_2025-01-16_107985ee.json
ABUK,2025-01-16,medium,operational,True,False,near_20d_high|macd_bullish|bollinger_above_upper|up_streak_3plus,neutral,small,0.5,-0.543,0.0,-0.543,neutral,small,True,True,scored,ABUK_2025-01-16_107985ee.json
ABUK,2025-01-16,large,operational,True,False,near_20d_high|macd_bullish|bollinger_above_upper|up_streak_3plus,neutral,small,0.4,2.496,0.0,2.496,neutral,small,True,True,scored,ABUK_2025-01-16_107985ee.json
ADIB,2025-01-09,short,other,False,False,rsi_neutral|bollinger_middle|low_volatility|down_streak_3plus|macd_bullish,down,small,0.42,1.502,0.0,1.502,up,medium,False,False,scored,ADIB_2025-01-09_251668bb.json
ADIB,2025-01-09,medium,other,False,False,rsi_neutral|bollinger_middle|low_volatility|down_streak_3plus|macd_bullish,neutral,small,0.36,0.239,0.0,0.239,neutral,small,True,True,scored,ADIB_2025-01-09_251668bb.json
ADIB,2025-01-09,large,other,False,False,rsi_neutral|bollinger_middle|low_volatility|down_streak_3plus|macd_bullish,neutral,small,0.3,1.087,0.0,1.087,neutral,small,True,True,scored,ADIB_2025-01-09_251668bb.json
ARCC,2025-01-06,short,dividend,True,False,rsi_neutral|macd_bearish|bollinger_middle|strong_uptrend|normal_volatility|near_52w_high,neutral,small,0.65,0.886,0.0,0.886,neutral,small,True,True,scored,ARCC_2025-01-06_e767ed1e.json
ARCC,2025-01-06,medium,dividend,True,False,rsi_neutral|macd_bearish|bollinger_middle|strong_uptrend|normal_volatility|near_52w_high,up,medium,0.62,-8.246,9.2,0.954,neutral,small,False,False,scored,ARCC_2025-01-06_e767ed1e.json
ARCC,2025-01-06,large,dividend,True,False,rsi_neutral|macd_bearish|bollinger_middle|strong_uptrend|normal_volatility|near_52w_high,up,small,0.55,6.468,9.2,15.668,up,medium,True,False,scored,ARCC_2025-01-06_e767ed1e.json
BTFH,2025-01-06,short,capital_increase,False,False,bollinger_near_lower|strong_downtrend|macd_bearish|normal_volatility|near_20d_low,down,small,0.75,-2.566,0.0,-2.566,down,medium,True,False,scored,BTFH_2025-01-06_432e83c3.json
BTFH,2025-01-06,medium,capital_increase,False,False,bollinger_near_lower|strong_downtrend|macd_bearish|normal_volatility|near_20d_low,down,small,0.7,-2.304,0.0,-2.304,neutral,small,False,False,scored,BTFH_2025-01-06_432e83c3.json
BTFH,2025-01-06,large,capital_increase,False,False,bollinger_near_lower|strong_downtrend|macd_bearish|normal_volatility|near_20d_low,down,small,0.65,-3.289,0.0,-3.289,neutral,small,False,False,scored,BTFH_2025-01-06_432e83c3.json
BTFH,2025-01-08,short,other,False,False,rsi_neutral|macd_bearish|bollinger_near_lower|near_20d_low|down_streak_3plus,up,small,0.55,-1.161,0.0,-1.161,neutral,small,False,False,scored,BTFH_2025-01-08_c20d32aa.json
BTFH,2025-01-08,medium,other,False,False,rsi_neutral|macd_bearish|bollinger_near_lower|near_20d_low|down_streak_3plus,neutral,small,0.5,-0.281,0.0,-0.281,neutral,small,True,True,scored,BTFH_2025-01-08_c20d32aa.json
BTFH,2025-01-08,large,other,False,False,rsi_neutral|macd_bearish|bollinger_near_lower|near_20d_low|down_streak_3plus,neutral,small,0.45,-1.403,0.0,-1.403,neutral,small,True,True,scored,BTFH_2025-01-08_c20d32aa.json
