ticker,sector,event_date,horizon,news_type,in_trading_hours,already_priced_in,ta_signals_cited,predicted_direction,predicted_magnitude,confidence,actual_return_pct,sector_return_pct,abnormal_return_pct,dividend_adj_pct,actual_return_adj_pct,observed_direction,observed_magnitude,directional_hit,magnitude_hit,status,file
ABUK,Petroleum & Petrochemicals,2025-06-29,short,earnings,True,False,macd_bullish|strong_downtrend|normal_volatility|rsi_neutral|bollinger_middle|near_20d_low,up,medium,0.78,3.068,1.058,2.01,0.0,3.068,up,medium,True,True,scored,ABUK_2025-06-29_b67a913a.json
ABUK,Petroleum & Petrochemicals,2025-06-29,medium,earnings,True,False,macd_bullish|strong_downtrend|normal_volatility|rsi_neutral|bollinger_middle|near_20d_low,up,medium,0.72,2.27,0.721,1.549,0.0,2.27,up,medium,True,True,scored,ABUK_2025-06-29_b67a913a.json
ABUK,Petroleum & Petrochemicals,2025-06-29,large,earnings,True,False,macd_bullish|strong_downtrend|normal_volatility|rsi_neutral|bollinger_middle|near_20d_low,neutral,small,0.55,2.679,-7.063,9.743,0.0,2.679,neutral,small,True,True,scored,ABUK_2025-06-29_b67a913a.json
ABUK,Petroleum & Petrochemicals,2025-06-29,short,m_and_a,True,False,macd_bullish|bollinger_middle|normal_volatility|trend_mixed,up,small,0.65,3.068,1.058,2.01,0.0,3.068,up,medium,True,False,scored,ABUK_2025-06-29_cc004b14.json
ABUK,Petroleum & Petrochemicals,2025-06-29,medium,m_and_a,True,False,macd_bullish|bollinger_middle|normal_volatility|trend_mixed,up,small,0.6,2.27,0.721,1.549,0.0,2.27,up,medium,True,False,scored,ABUK_2025-06-29_cc004b14.json
ABUK,Petroleum & Petrochemicals,2025-06-29,large,m_and_a,True,False,macd_bullish|bollinger_middle|normal_volatility|trend_mixed,up,medium,0.55,2.679,-7.063,9.743,0.0,2.679,neutral,small,False,False,scored,ABUK_2025-06-29_cc004b14.json
CCAP,Non-Bank Financials,2025-06-24,short,capital_increase,True,False,macd_bearish|rsi_neutral|bollinger_middle|trend_mixed|high_volatility,up,medium,0.62,0.743,1.46,-0.717,0.0,0.743,neutral,small,False,False,scored,CCAP_2025-06-24_26029d39.json
CCAP,Non-Bank Financials,2025-06-24,medium,capital_increase,True,False,macd_bearish|rsi_neutral|bollinger_middle|trend_mixed|high_volatility,neutral,small,0.58,4.833,2.183,2.65,0.0,4.833,up,medium,False,False,scored,CCAP_2025-06-24_26029d39.json
CCAP,Non-Bank Financials,2025-06-24,large,capital_increase,True,False,macd_bearish|rsi_neutral|bollinger_middle|trend_mixed|high_volatility,neutral,small,0.45,14.87,1.183,13.687,0.0,14.87,up,medium,False,False,scored,CCAP_2025-06-24_26029d39.json
ETEL,Telecommunications,2025-06-26,short,operational,True,True,macd_bullish_crossover|bollinger_near_upper|near_20d_high|strong_uptrend|rsi_neutral,up,medium,0.7,0.975,0.975,0.0,0.0,0.975,up,medium,True,True,scored,ETEL_2025-06-26_ec18adb0.json
